<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,,,,,
LKOH,M,20040801,0,796.5,869,761.1,860.9,35218008,29.276,800,0.33689298,64.14269024,1667.543433
LKOH,M,20040901,0,860.47,942.6,849,912.7,41172633,29.2591,810,0.310408445,64.45309869,1870.210662
LKOH,M,20041001,0,912.35,967,872,897.01,34794975,29.2224,820,0.302196484,64.75529517,1932.30595
LKOH,M,20041101,0,898.29,953.5,876,877,24995737,28.7811,830,0.30184688,65.05714205,1980.120858
LKOH,M,20041201,0,876.5,878.99,722,833.02,31632266,28.1496,840,0.320249377,65.37739143,1676.8436
LKOH,M,20050101,0,828,878.49,804.1,868,19939813,28.1594,850,0.320543205,65.69793463,1876.023965
LKOH,M,20050201,0,870,968.8,864.22,968.25,28859098,28.1872,860,0.290949628,65.98888426,2023.22024
LKOH,M,20050301,0,967,968.76,896.02,945.9,36588858,27.8313,870,0.287287873,66.27617213,2133.740636
LKOH,M,20050401,0,952,1026.9,934,941.5,44319730,27.9394,880,0.272075178,66.54824731,2224.674223
LKOH,M,20050501,0,948,991.5,882,983.5,32543496,28.0919,890,0.283327282,66.83157459,2098.307654
LKOH,M,20050601,0,984,1060.9,972.1,1053.97,42399736,28.6787,900,0.270324253,67.10189885,2274.501838
LKOH,M,20050701,0,1053.97,1197.4,1051,1184.9,47623451,28.8374,910,0.240833473,67.34273232,2454.354819
LKOH,M,20050801,0,1180.05,1402.5,1174.1,1387.01,54763270,28.604,920,0.203950089,67.54668241,2772.568865
LKOH,M,20050901,0,1390.84,1662.15,1297.32,1644,67405627,28.5678,930,0.171872575,67.71855498,3075.232806
LKOH,M,20051001,0,1652.15,1774.99,1420,1570.5,85643322,28.6715,940,0.161530487,67.88008547,3361.865315
LKOH,M,20051101,0,1583.5,1687.1,1555.01,1645,62905099,28.879,950,0.17117539,68.05126086,3664.267847
LKOH,M,20051201,0,1657.8,1765.7,1655.53,1704.52,36286492,28.9978,960,0.164228351,68.21548921,3894.529545
LKOH,M,20060101,0,1801,2264,1777,2157,62570358,28.4834,970,0.125810071,68.34129928,4263.623332
LKOH,M,20060201,0,2157,2458.98,2091.22,2247.9,54711841,28.2642,980,0.114942781,68.45624206,5064.960711
LKOH,M,20060301,0,2265.85,2380,2052.25,2306,66205965,28.1211,990,0.118155882,68.57439795,5004.49158
LKOH,M,20060401,0,2301.5,2582,2290.5,2481,54388076,27.7737,1000,0.107566615,68.68196456,5664.20894
LKOH,M,20060501,0,2500,2603.88,1863,2092.01,65710621,27.2424,1010,0.104622333,68.78658689,4704.042646
LKOH,M,20060601,0,2100,2298.99,1666,2249,81855017,27.1021,1020,0.117886985,68.90447388,4235.64423
LKOH,M,20060701,0,2261.01,2363.77,2162.07,2325,69060137,27.0554,1030,0.114458683,69.01893256,5515.48909
LKOH,M,20060801,0,2325.18,2474,2201,2256,62922694,26.8416,1040,0.108494745,69.12742731,5668.420195
LKOH,M,20060901,0,2247,2305,1891.25,2028,56712449,26.8048,1050,0.116289805,69.24371711,4885.586909
LKOH,M,20061001,0,2048.48,2257,1867.2,2160.57,87515258,26.969,1060,0.119490474,69.36320759,4802.364982
LKOH,M,20061101,0,2170,2375,2131,2343,64079172,26.7811,1070,0.112762526,69.47597011,5528.27525
LKOH,M,20061201,0,2350.63,2412.68,2234.5,2282.93,38690604,26.3884,1080,0.109373808,69.58534392,5892.303095
LKOH,M,20070101,0,2155,2190,2016.19,2111.99,48314796,26.577,1090,0.121356164,69.70670008,5288.104438
LKOH,M,20070201,0,2142.63,2251,2022,2081.96,62276530,26.5543,1100,0.117966681,69.82466677,5316.859273
LKOH,M,20070301,0,2070.02,2285.99,1910,2239,67466556,26.2432,1110,0.114800152,69.93946692,5090.247447
LKOH,M,20070401,0,2243,2249.15,2011,2046.01,42277299,26.0094,1120,0.11564102,70.05510794,5416.534871
LKOH,M,20070501,0,2007.2,2029.97,1841.9,1960,45799569,25.9152,1130,0.12766297,70.18277091,4988.178588
LKOH,M,20070601,0,1965,2074.4,1926.22,1969,43486411,26.0465,1140,0.125561608,70.30833252,5199.520713
LKOH,M,20070701,0,1970,2195.55,1958.26,2058.2,62541376,25.7305,1150,0.117193869,70.42552639,5359.844982
LKOH,M,20070801,0,2010.23,2042.11,1820,1907,54490242,25.8429,1160,0.12654999,70.55207638,4968.667565
LKOH,M,20070901,0,1912.26,2084,1892.22,2081.8,51543677,25.6997,1170,0.123319098,70.67539547,5203.694861
LKOH,M,20071001,0,2066.11,2248.85,2022.11,2237.01,69629768,25.0597,1180,0.111433399,70.78682887,5711.91014
LKOH,M,20071101,0,2265,2355.8,2037.6,2115,69698993,24.6847,1190,0.104782664,70.89161154,5851.752206
LKOH,M,20071201,0,2115,2267.77,2061.02,2067.1,50280118,24.7529,1200,0.10915084,71.00076238,5911.791801
LKOH,M,20080101,0,2081,2108.89,1580,1668,65446379,24.8917,1210,0.118032235,71.11879461,4514.263609
LKOH,M,20080201,0,1700.03,1869.65,1610,1786,78482777,24.7813,1220,0.132545129,71.25133974,4629.081484
LKOH,M,20080301,0,1758.22,2000.11,1682,1999.99,77403671,24.048,1230,0.120233387,71.37157313,4991.973802
LKOH,M,20080401,0,1995,2183,1942.52,2137,84176445,23.6706,1240,0.108431516,71.48000464,5865.98306
LKOH,M,20080501,0,2161,2697.3,2125.5,2659.9,104169588,23.8833,1250,0.088545212,71.56854986,6369.260224
LKOH,M,20080601,0,2649,2654.5,2237.32,2323,74203844,23.8116,1260,0.089702769,71.65825262,6732.95544
LKOH,M,20080701,0,2316,2328,1795,1922,76235904,23.5589,1270,0.101198024,71.75945065,5467.496951
LKOH,M,20080801,0,1900.1,1990,1632.01,1832.3,79247895,24.6019,1280,0.123627638,71.88307829,4768.489531
LKOH,M,20080901,0,1814.49,1895.89,1318,1520,73945888,25.7842,1290,0.136000506,72.01907879,3681.368662
LKOH,M,20081001,0,1542,1558.7,705,1033,37920677,27.3507,1300,0.175471226,72.19455002,1860.90878
LKOH,M,20081101,0,1054.98,1337,727,879.79,41196214,27.6613,1310,0.2068908,72.40144082,1902.869622
LKOH,M,20081201,0,874.98,1118.84,756.05,961.6,55384040,29.3804,1320,0.262596975,72.6640378,1869.87399
LKOH,M,20090101,0,1030,1250,945.5,1166.98,55151055,35.4146,1330,0.2833168,72.9473546,1947.550552
LKOH,M,20090201,0,1157,1318,1027,1152,62632111,36.4267,1340,0.276378604,73.2237332,2064.441028
LKOH,M,20090301,0,1123.2,1454.48,1085.22,1264.99,77638056,36.2284,1350,0.249081459,73.47281466,2200.874671
LKOH,M,20090401,0,1258.56,1688,1233.01,1481.99,54129141,34.1043,1360,0.202039692,73.67485435,2663.647463
LKOH,M,20090501,0,1515.01,1671.66,1450,1641.05,43923654,32.974,1370,0.19725303,73.87210738,3248.455016
LKOH,M,20090601,0,1680.18,1771,1305.34,1379,53139307,31.5765,1380,0.178297572,74.05040495,3061.167501
LKOH,M,20090701,0,1391.99,1611,1280,1570,56665544,33.0597,1390,0.205212291,74.25561724,2875.016714
LKOH,M,20090801,0,1586.68,1672.99,1395.25,1580.02,55432748,32.6926,1400,0.195414199,74.45103144,3177.410228
LKOH,M,20090901,0,1595.02,1735.65,1499.01,1637,55735295,31.973,1410,0.184213407,74.63524485,3499.170499
LKOH,M,20091001,0,1648.13,1991,1587.92,1704.83,56966985,30.124,1420,0.151300854,74.7865457,3942.207265
LKOH,M,20091101,0,1700.23,1866,1607.1,1686.86,50984136,29.8179,1430,0.15979582,74.94634152,4039.394641
LKOH,M,20091201,0,1704.9,1770,1586,1693.38,46198608,30.7562,1440,0.173763842,75.12010536,3873.706346
LKOH,M,20100101,0,1744.32,1781.84,1598.5,1686.73,33453640,30.4312,1450,0.170785256,75.29089062,3954.904462
LKOH,M,20100201,0,1670.11,1733.38,1515,1574,38055805,30.5158,1460,0.176047953,75.46693857,3746.662776
LKOH,M,20100301,0,1587,1727.41,1566.04,1670.5,57530547,30.0388,1470,0.173895022,75.64083359,3943.45217
LKOH,M,20100401,0,1684.99,1777,1665,1670.48,42232240,29.4956,1480,0.165985369,75.80681896,4279.226514
LKOH,M,20100501,0,1675.01,1687.47,1400.01,1523.06,40166159,31.4293,1490,0.186251015,75.99306998,3385.091551
LKOH,M,20100601,0,1508,1734,1476.1,1615,49252901,31.7798,1500,0.18327451,76.17634449,3538.219312
LKOH,M,20100701,0,1603.94,1782.59,1546.3,1720,33150997,31.3703,1510,0.175981577,76.35232606,3763.547106
LKOH,M,20100801,0,1740.09,1749.75,1621,1629.99,26844812,30.8958,1520,0.176572653,76.52889872,4015.217111
LKOH,M,20100901,0,1638.89,1821,1616.77,1733.04,36155703,31.0826,1530,0.170689731,76.69958845,3989.550218
LKOH,M,20101001,0,1729.73,1826.7,1706.21,1734.13,30580444,30.7968,1540,0.168592544,76.86818099,4258.665156
LKOH,M,20101101,0,1737.99,1802.58,1680.01,1735,29718323,31.3539,1550,0.173939021,77.04212001,4128.083972
LKOH,M,20101201,0,1741.2,1874,1728,1742,38039583,31.4555,1560,0.167852188,77.2099722,4241.51045
LKOH,M,20110101,0,1753.84,1947,1753.56,1834.99,35659638,30.6252,1570,0.157294299,77.3672665,4429.951277
LKOH,M,20110201,0,1850,2047.99,1835.14,2038.03,39974782,29.8018,1580,0.145517312,77.51278381,4773.094581
LKOH,M,20110301,0,2048.1,2090,1921.9,2032.7,47307612,28.9028,1590,0.138290909,77.65107472,5163.43055
LKOH,M,20110401,0,2030.3,2084.1,1883,1895.1,38515468,28.5162,1600,0.136827408,77.78790213,5136.540623
LKOH,M,20110501,0,1891,1909.9,1680,1850,40555622,28.4794,1610,0.149114613,77.93701674,4597.505149
LKOH,M,20110601,0,1814,1827.8,1711.5,1777.3,37737296,28.3478,1620,0.155092461,78.0921092,4714.815432
LKOH,M,20110701,0,1777,1888,1769,1848,32407970,28.3842,1630,0.150340042,78.24244925,4876.335874
LKOH,M,20110801,0,1872,1887.5,1505.1,1739.2,61262381,29.4452,1640,0.15600106,78.3984503,4007.35969
LKOH,M,20110901,0,1738,1782.4,1500,1637.6,60406795,32.4619,1650,0.182124663,78.58057497,3631.052479
LKOH,M,20111001,0,1605.9,1804,1517,1758.1,53637219,32.6799,1660,0.181152439,78.76172741,3656.117077
LKOH,M,20111101,0,1742.4,1818.5,1585.1,1722,48959308,31.5788,1670,0.173653011,78.93538042,3962.166754
LKOH,M,20111201,0,1734.1,1749,1569.7,1701,43208178,32.1961,1680,0.184082905,79.11946332,3857.418183
